what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1305038720790
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1305038727682
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1305038727781
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1305038730575
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1305038739374
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1305038739640
error,log,,,"Error logged from Debug Core: ",1305038740093
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1305038749461
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1305038771131
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1305038788614
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1305038826300
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.refresh",1305038828974
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1305038832860
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1305038833211
started,bundle,org.eclipse.mylyn.java.tasks,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.java.tasks",1305038833865
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1305038838483
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1305038838660
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1305038848301
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1305038854950
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1305038856158
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1305038856158
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1305038856198
opened,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1305038881704
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1305038881808
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1305038883884
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1305038893209
